ENSG00000110514,ENST00000636321
ENSG00000197253,ENST00000440800
ENSG00000197253,ENST00000522832
ENSG00000197253,ENST00000507181
ENSG00000197253,ENST00000568091
ENSG00000197253,ENST00000515154
ENSG00000197253,ENST00000562876
ENSG00000178055,ENST00000440800
ENSG00000178055,ENST00000522832
ENSG00000178055,ENST00000507181
ENSG00000178055,ENST00000568091
ENSG00000178055,ENST00000515154
ENSG00000178055,ENST00000562876
ENSG00000274883,ENST00000425667
ENSG00000274883,ENST00000533875
ENSG00000278636,ENST00000425667
ENSG00000278636,ENST00000533875
ENSG00000243671,ENST00000425667
ENSG00000243671,ENST00000533875
ENSG00000242928,ENST00000425667
ENSG00000242928,ENST00000533875
ENSG00000243770,ENST00000425667
ENSG00000243770,ENST00000533875
ENSG00000278226,ENST00000425667
ENSG00000278226,ENST00000533875
ENSG00000263955,ENST00000425667
ENSG00000263955,ENST00000533875
ENSG00000276956,ENST00000425667
ENSG00000276956,ENST00000533875
ENSG00000265388,ENST00000425667
ENSG00000265388,ENST00000533875
ENSG00000276522,ENST00000425667
ENSG00000276522,ENST00000533875
ENSG00000276525,ENST00000425667
ENSG00000276525,ENST00000533875
ENSG00000266828,ENST00000425667
ENSG00000266828,ENST00000533875
ENSG00000214305,ENST00000425667
ENSG00000214305,ENST00000533875
ENSG00000276359,ENST00000425667
ENSG00000276359,ENST00000533875
ENSG00000241868,ENST00000425667
ENSG00000241868,ENST00000533875
ENSG00000241866,ENST00000425667
ENSG00000241866,ENST00000533875
ENSG00000276353,ENST00000425667
ENSG00000276353,ENST00000533875
ENSG00000242855,ENST00000425667
ENSG00000242855,ENST00000533875
ENSG00000275878,ENST00000425667
ENSG00000275878,ENST00000533875
ENSG00000264554,ENST00000425667
ENSG00000264554,ENST00000533875
ENSG00000275975,ENST00000425667
ENSG00000275975,ENST00000533875
ENSG00000242853,ENST00000425667
ENSG00000242853,ENST00000533875
ENSG00000278222,ENST00000425667
ENSG00000278222,ENST00000533875
ENSG00000275978,ENST00000425667
ENSG00000275978,ENST00000533875
ENSG00000277506,ENST00000425667
ENSG00000277506,ENST00000533875
ENSG00000278702,ENST00000425667
ENSG00000278702,ENST00000533875
ENSG00000276193,ENST00000425667
ENSG00000276193,ENST00000533875
ENSG00000243075,ENST00000425667
ENSG00000243075,ENST00000533875
ENSG00000242638,ENST00000425667
ENSG00000242638,ENST00000533875
ENSG00000243591,ENST00000425667
ENSG00000243591,ENST00000533875
ENSG00000243700,ENST00000425667
ENSG00000243700,ENST00000533875
ENSG00000273717,ENST00000425667
ENSG00000273717,ENST00000533875
ENSG00000273710,ENST00000425667
ENSG00000273710,ENST00000533875
ENSG00000240151,ENST00000425667
ENSG00000240151,ENST00000533875
ENSG00000243359,ENST00000425667
ENSG00000243359,ENST00000533875
ENSG00000240481,ENST00000425667
ENSG00000240481,ENST00000533875
ENSG00000277668,ENST00000425667
ENSG00000277668,ENST00000533875
ENSG00000239748,ENST00000425667
ENSG00000239748,ENST00000533875
ENSG00000242201,ENST00000425667
ENSG00000242201,ENST00000533875
ENSG00000239742,ENST00000425667
ENSG00000239742,ENST00000533875
ENSG00000243352,ENST00000425667
ENSG00000243352,ENST00000533875
ENSG00000266467,ENST00000425667
ENSG00000266467,ENST00000533875
ENSG00000239745,ENST00000425667
ENSG00000239745,ENST00000533875
ENSG00000240847,ENST00000425667
ENSG00000240847,ENST00000533875
ENSG00000277051,ENST00000425667
ENSG00000277051,ENST00000533875
ENSG00000239625,ENST00000425667
ENSG00000239625,ENST00000533875
ENSG00000276669,ENST00000425667
ENSG00000276669,ENST00000533875
ENSG00000263410,ENST00000425667
ENSG00000263410,ENST00000533875
ENSG00000266308,ENST00000425667
ENSG00000266308,ENST00000533875
ENSG00000239580,ENST00000425667
ENSG00000239580,ENST00000533875
ENSG00000242688,ENST00000425667
ENSG00000242688,ENST00000533875
ENSG00000276782,ENST00000425667
ENSG00000276782,ENST00000533875
ENSG00000265078,ENST00000425667
ENSG00000265078,ENST00000533875
ENSG00000263556,ENST00000425667
ENSG00000263556,ENST00000533875
ENSG00000263558,ENST00000425667
ENSG00000263558,ENST00000533875
ENSG00000240302,ENST00000425667
ENSG00000240302,ENST00000533875
ENSG00000244318,ENST00000425667
ENSG00000244318,ENST00000533875
ENSG00000241757,ENST00000425667
ENSG00000241757,ENST00000533875
ENSG00000241604,ENST00000425667
ENSG00000241604,ENST00000533875
ENSG00000241230,ENST00000425667
ENSG00000241230,ENST00000533875
ENSG00000240733,ENST00000425667
ENSG00000240733,ENST00000533875
ENSG00000244314,ENST00000425667
ENSG00000244314,ENST00000533875
ENSG00000275655,ENST00000425667
ENSG00000275655,ENST00000533875
ENSG00000265386,ENST00000425667
ENSG00000265386,ENST00000533875
ENSG00000237611,ENST00000425667
ENSG00000237611,ENST00000533875
ENSG00000240322,ENST00000425667
ENSG00000240322,ENST00000533875
ENSG00000240637,ENST00000425667
ENSG00000240637,ENST00000533875
ENSG00000278459,ENST00000425667
ENSG00000278459,ENST00000533875
ENSG00000240327,ENST00000425667
ENSG00000240327,ENST00000533875
ENSG00000244256,ENST00000425667
ENSG00000244256,ENST00000533875
ENSG00000243505,ENST00000425667
ENSG00000243505,ENST00000533875
ENSG00000240639,ENST00000425667
ENSG00000240639,ENST00000533875
ENSG00000239942,ENST00000425667
ENSG00000239942,ENST00000533875
ENSG00000243856,ENST00000425667
ENSG00000243856,ENST00000533875
ENSG00000243854,ENST00000425667
ENSG00000243854,ENST00000533875
ENSG00000272232,ENST00000425667
ENSG00000272232,ENST00000533875
ENSG00000277605,ENST00000425667
ENSG00000277605,ENST00000533875
ENSG00000243911,ENST00000425667
ENSG00000243911,ENST00000533875
ENSG00000265439,ENST00000425667
ENSG00000265439,ENST00000533875
ENSG00000264071,ENST00000425667
ENSG00000264071,ENST00000533875
ENSG00000264530,ENST00000425667
ENSG00000264530,ENST00000533875
ENSG00000239690,ENST00000425667
ENSG00000239690,ENST00000533875
ENSG00000273940,ENST00000425667
ENSG00000273940,ENST00000533875
ENSG00000273829,ENST00000425667
ENSG00000273829,ENST00000533875
ENSG00000275293,ENST00000425667
ENSG00000275293,ENST00000533875
ENSG00000265802,ENST00000425667
ENSG00000265802,ENST00000533875
ENSG00000244034,ENST00000425667
ENSG00000244034,ENST00000533875
ENSG00000244671,ENST00000425667
ENSG00000244671,ENST00000533875
ENSG00000244033,ENST00000425667
ENSG00000244033,ENST00000533875
ENSG00000244404,ENST00000425667
ENSG00000244404,ENST00000533875
ENSG00000275901,ENST00000425667
ENSG00000275901,ENST00000533875
ENSG00000266770,ENST00000425667
ENSG00000266770,ENST00000533875
ENSG00000239494,ENST00000425667
ENSG00000239494,ENST00000533875
ENSG00000241693,ENST00000425667
ENSG00000241693,ENST00000533875
ENSG00000244402,ENST00000425667
ENSG00000244402,ENST00000533875
ENSG00000272096,ENST00000425667
ENSG00000272096,ENST00000533875
ENSG00000241869,ENST00000425667
ENSG00000241869,ENST00000533875
ENSG00000274632,ENST00000425667
ENSG00000274632,ENST00000533875
ENSG00000276123,ENST00000425667
ENSG00000276123,ENST00000533875
ENSG00000275642,ENST00000425667
ENSG00000275642,ENST00000533875
ENSG00000276645,ENST00000425667
ENSG00000276645,ENST00000533875
ENSG00000273573,ENST00000425667
ENSG00000273573,ENST00000533875
ENSG00000239316,ENST00000425667
ENSG00000239316,ENST00000533875
ENSG00000239250,ENST00000425667
ENSG00000239250,ENST00000533875
ENSG00000242020,ENST00000425667
ENSG00000242020,ENST00000533875
ENSG00000263608,ENST00000425667
ENSG00000263608,ENST00000533875
ENSG00000241665,ENST00000425667
ENSG00000241665,ENST00000533875
ENSG00000239964,ENST00000425667
ENSG00000239964,ENST00000533875
ENSG00000244080,ENST00000425667
ENSG00000244080,ENST00000533875
ENSG00000240940,ENST00000425667
ENSG00000240940,ENST00000533875
ENSG00000278825,ENST00000425667
ENSG00000278825,ENST00000533875
ENSG00000278771,ENST00000425667
ENSG00000278771,ENST00000533875
ENSG00000243439,ENST00000425667
ENSG00000243439,ENST00000533875
ENSG00000243005,ENST00000425667
ENSG00000243005,ENST00000533875
ENSG00000272469,ENST00000425667
ENSG00000272469,ENST00000533875
ENSG00000274711,ENST00000425667
ENSG00000274711,ENST00000533875
ENSG00000243437,ENST00000425667
ENSG00000243437,ENST00000533875
ENSG00000278348,ENST00000425667
ENSG00000278348,ENST00000533875
ENSG00000264384,ENST00000425667
ENSG00000264384,ENST00000533875
ENSG00000241347,ENST00000425667
ENSG00000241347,ENST00000533875
ENSG00000265892,ENST00000425667
ENSG00000265892,ENST00000533875
ENSG00000264092,ENST00000425667
ENSG00000264092,ENST00000533875
ENSG00000244104,ENST00000425667
ENSG00000244104,ENST00000533875
ENSG00000244107,ENST00000425667
ENSG00000244107,ENST00000533875
ENSG00000241198,ENST00000425667
ENSG00000241198,ENST00000533875
ENSG00000244532,ENST00000425667
ENSG00000244532,ENST00000533875
ENSG00000244534,ENST00000425667
ENSG00000244534,ENST00000533875
ENSG00000264592,ENST00000425667
ENSG00000264592,ENST00000533875
ENSG00000276396,ENST00000425667
ENSG00000276396,ENST00000533875
ENSG00000241943,ENST00000425667
ENSG00000241943,ENST00000533875
ENSG00000274686,ENST00000425667
ENSG00000274686,ENST00000533875
ENSG00000276014,ENST00000425667
ENSG00000276014,ENST00000533875
ENSG00000243136,ENST00000425667
ENSG00000243136,ENST00000533875
ENSG00000272412,ENST00000425667
ENSG00000272412,ENST00000533875
ENSG00000242719,ENST00000425667
ENSG00000242719,ENST00000533875
ENSG00000240116,ENST00000425667
ENSG00000240116,ENST00000533875
ENSG00000278172,ENST00000425667
ENSG00000278172,ENST00000533875
ENSG00000273610,ENST00000425667
ENSG00000273610,ENST00000533875
ENSG00000243313,ENST00000425667
ENSG00000243313,ENST00000533875
ENSG00000240203,ENST00000425667
ENSG00000240203,ENST00000533875
ENSG00000278700,ENST00000425667
ENSG00000278700,ENST00000533875
ENSG00000242565,ENST00000425667
ENSG00000242565,ENST00000533875
ENSG00000243488,ENST00000425667
ENSG00000243488,ENST00000533875
ENSG00000278701,ENST00000425667
ENSG00000278701,ENST00000533875
ENSG00000242482,ENST00000425667
ENSG00000242482,ENST00000533875
ENSG00000242483,ENST00000425667
ENSG00000242483,ENST00000533875
ENSG00000239679,ENST00000425667
ENSG00000239679,ENST00000533875
ENSG00000263905,ENST00000425667
ENSG00000263905,ENST00000533875
ENSG00000264317,ENST00000425667
ENSG00000264317,ENST00000533875
ENSG00000239542,ENST00000425667
ENSG00000239542,ENST00000533875
ENSG00000239545,ENST00000425667
ENSG00000239545,ENST00000533875
ENSG00000264313,ENST00000425667
ENSG00000264313,ENST00000533875
ENSG00000239547,ENST00000425667
ENSG00000239547,ENST00000533875
ENSG00000244748,ENST00000425667
ENSG00000244748,ENST00000533875
ENSG00000266185,ENST00000425667
ENSG00000266185,ENST00000533875
ENSG00000273725,ENST00000425667
ENSG00000273725,ENST00000533875
ENSG00000264251,ENST00000425667
ENSG00000264251,ENST00000533875
ENSG00000264250,ENST00000425667
ENSG00000264250,ENST00000533875
ENSG00000275909,ENST00000425667
ENSG00000275909,ENST00000533875
ENSG00000241834,ENST00000425667
ENSG00000241834,ENST00000533875
ENSG00000265033,ENST00000425667
ENSG00000265033,ENST00000533875
ENSG00000274841,ENST00000425667
ENSG00000274841,ENST00000533875
ENSG00000266794,ENST00000425667
ENSG00000266794,ENST00000533875
ENSG00000274848,ENST00000425667
ENSG00000274848,ENST00000533875
ENSG00000243546,ENST00000425667
ENSG00000243546,ENST00000533875
ENSG00000240205,ENST00000425667
ENSG00000240205,ENST00000533875
ENSG00000240202,ENST00000425667
ENSG00000240202,ENST00000533875
ENSG00000244218,ENST00000425667
ENSG00000244218,ENST00000533875
ENSG00000278007,ENST00000425667
ENSG00000278007,ENST00000533875
ENSG00000243541,ENST00000425667
ENSG00000243541,ENST00000533875
ENSG00000239899,ENST00000425667
ENSG00000239899,ENST00000533875
ENSG00000243544,ENST00000425667
ENSG00000243544,ENST00000533875
ENSG00000242989,ENST00000425667
ENSG00000242989,ENST00000533875
ENSG00000240160,ENST00000425667
ENSG00000240160,ENST00000533875
ENSG00000243548,ENST00000425667
ENSG00000243548,ENST00000533875
ENSG00000243260,ENST00000425667
ENSG00000243260,ENST00000533875
ENSG00000242985,ENST00000425667
ENSG00000242985,ENST00000533875
ENSG00000264030,ENST00000425667
ENSG00000264030,ENST00000533875
ENSG00000278554,ENST00000425667
ENSG00000278554,ENST00000533875
ENSG00000242668,ENST00000425667
ENSG00000242668,ENST00000533875
ENSG00000240250,ENST00000425667
ENSG00000240250,ENST00000533875
ENSG00000274011,ENST00000425667
ENSG00000274011,ENST00000533875
ENSG00000274012,ENST00000425667
ENSG00000274012,ENST00000533875
ENSG00000239710,ENST00000425667
ENSG00000239710,ENST00000533875
ENSG00000240837,ENST00000425667
ENSG00000240837,ENST00000533875
ENSG00000274017,ENST00000425667
ENSG00000274017,ENST00000533875
ENSG00000277168,ENST00000425667
ENSG00000277168,ENST00000533875
ENSG00000273886,ENST00000425667
ENSG00000273886,ENST00000533875
ENSG00000264036,ENST00000425667
ENSG00000264036,ENST00000533875
ENSG00000274799,ENST00000425667
ENSG00000274799,ENST00000533875
ENSG00000265327,ENST00000425667
ENSG00000265327,ENST00000533875
ENSG00000243549,ENST00000425667
ENSG00000243549,ENST00000533875
ENSG00000276839,ENST00000425667
ENSG00000276839,ENST00000533875
ENSG00000273866,ENST00000425667
ENSG00000273866,ENST00000533875
ENSG00000241162,ENST00000425667
ENSG00000241162,ENST00000533875
ENSG00000275014,ENST00000425667
ENSG00000275014,ENST00000533875
ENSG00000241791,ENST00000425667
ENSG00000241791,ENST00000533875
ENSG00000242182,ENST00000425667
ENSG00000242182,ENST00000533875
ENSG00000241246,ENST00000425667
ENSG00000241246,ENST00000533875
ENSG00000241248,ENST00000425667
ENSG00000241248,ENST00000533875
ENSG00000276601,ENST00000425667
ENSG00000276601,ENST00000533875
ENSG00000239211,ENST00000425667
ENSG00000239211,ENST00000533875
ENSG00000240663,ENST00000425667
ENSG00000240663,ENST00000533875
ENSG00000276764,ENST00000425667
ENSG00000276764,ENST00000533875
ENSG00000242348,ENST00000425667
ENSG00000242348,ENST00000533875
ENSG00000242065,ENST00000425667
ENSG00000242065,ENST00000533875
ENSG00000242066,ENST00000425667
ENSG00000242066,ENST00000533875
ENSG00000240905,ENST00000425667
ENSG00000240905,ENST00000533875
ENSG00000274701,ENST00000425667
ENSG00000274701,ENST00000533875
ENSG00000277950,ENST00000425667
ENSG00000277950,ENST00000533875
ENSG00000274568,ENST00000425667
ENSG00000274568,ENST00000533875
ENSG00000239808,ENST00000425667
ENSG00000239808,ENST00000533875
ENSG00000277958,ENST00000425667
ENSG00000277958,ENST00000533875
ENSG00000263882,ENST00000425667
ENSG00000263882,ENST00000533875
ENSG00000278525,ENST00000425667
ENSG00000278525,ENST00000533875
ENSG00000275132,ENST00000425667
ENSG00000275132,ENST00000533875
ENSG00000265813,ENST00000425667
ENSG00000265813,ENST00000533875
ENSG00000241420,ENST00000425667
ENSG00000241420,ENST00000533875
ENSG00000273913,ENST00000425667
ENSG00000273913,ENST00000533875
ENSG00000264910,ENST00000425667
ENSG00000264910,ENST00000533875
ENSG00000241542,ENST00000425667
ENSG00000241542,ENST00000533875
ENSG00000264916,ENST00000425667
ENSG00000264916,ENST00000533875
ENSG00000265141,ENST00000425667
ENSG00000265141,ENST00000533875
ENSG00000240014,ENST00000425667
ENSG00000240014,ENST00000533875
ENSG00000240723,ENST00000425667
ENSG00000240723,ENST00000533875
ENSG00000241983,ENST00000425667
ENSG00000241983,ENST00000533875
ENSG00000277233,ENST00000425667
ENSG00000277233,ENST00000533875
ENSG00000275128,ENST00000425667
ENSG00000275128,ENST00000533875
ENSG00000266627,ENST00000425667
ENSG00000266627,ENST00000533875
ENSG00000242118,ENST00000425667
ENSG00000242118,ENST00000533875
ENSG00000277582,ENST00000425667
ENSG00000277582,ENST00000533875
ENSG00000273549,ENST00000425667
ENSG00000273549,ENST00000533875
ENSG00000239471,ENST00000425667
ENSG00000239471,ENST00000533875
ENSG00000239367,ENST00000425667
ENSG00000239367,ENST00000533875
ENSG00000242113,ENST00000425667
ENSG00000242113,ENST00000533875
ENSG00000273986,ENST00000425667
ENSG00000273986,ENST00000533875
ENSG00000277464,ENST00000425667
ENSG00000277464,ENST00000533875
ENSG00000273981,ENST00000425667
ENSG00000273981,ENST00000533875
ENSG00000277467,ENST00000425667
ENSG00000277467,ENST00000533875
ENSG00000277740,ENST00000425667
ENSG00000277740,ENST00000533875
ENSG00000239744,ENST00000425667
ENSG00000239744,ENST00000533875
ENSG00000242251,ENST00000425667
ENSG00000242251,ENST00000533875
ENSG00000239932,ENST00000425667
ENSG00000239932,ENST00000533875
ENSG00000278604,ENST00000425667
ENSG00000278604,ENST00000533875
ENSG00000266610,ENST00000425667
ENSG00000266610,ENST00000533875
ENSG00000265885,ENST00000425667
ENSG00000265885,ENST00000533875
ENSG00000276493,ENST00000425667
ENSG00000276493,ENST00000533875
ENSG00000243633,ENST00000425667
ENSG00000243633,ENST00000533875
ENSG00000239504,ENST00000425667
ENSG00000239504,ENST00000533875
ENSG00000263940,ENST00000425667
ENSG00000263940,ENST00000533875
ENSG00000263941,ENST00000425667
ENSG00000263941,ENST00000533875
ENSG00000263944,ENST00000425667
ENSG00000263944,ENST00000533875
ENSG00000203411,ENST00000425667
ENSG00000203411,ENST00000533875
ENSG00000264352,ENST00000425667
ENSG00000264352,ENST00000533875
ENSG00000241333,ENST00000425667
ENSG00000241333,ENST00000533875
ENSG00000275337,ENST00000425667
ENSG00000275337,ENST00000533875
ENSG00000277308,ENST00000425667
ENSG00000277308,ENST00000533875
ENSG00000275230,ENST00000425667
ENSG00000275230,ENST00000533875
ENSG00000277592,ENST00000425667
ENSG00000277592,ENST00000533875
ENSG00000244544,ENST00000425667
ENSG00000244544,ENST00000533875
ENSG00000265272,ENST00000425667
ENSG00000265272,ENST00000533875
ENSG00000264400,ENST00000425667
ENSG00000264400,ENST00000533875
ENSG00000275788,ENST00000425667
ENSG00000275788,ENST00000533875
ENSG00000264767,ENST00000425667
ENSG00000264767,ENST00000533875
ENSG00000277515,ENST00000425667
ENSG00000277515,ENST00000533875
ENSG00000277510,ENST00000425667
ENSG00000277510,ENST00000533875
ENSG00000237261,ENST00000425667
ENSG00000237261,ENST00000533875
ENSG00000240533,ENST00000425667
ENSG00000240533,ENST00000533875
ENSG00000243991,ENST00000425667
ENSG00000243991,ENST00000533875
ENSG00000278124,ENST00000425667
ENSG00000278124,ENST00000533875
ENSG00000240877,ENST00000425667
ENSG00000240877,ENST00000533875
ENSG00000242236,ENST00000425667
ENSG00000242236,ENST00000533875
ENSG00000265535,ENST00000425667
ENSG00000265535,ENST00000533875
ENSG00000265745,ENST00000425667
ENSG00000265745,ENST00000533875
ENSG00000266317,ENST00000425667
ENSG00000266317,ENST00000533875
ENSG00000276544,ENST00000425667
ENSG00000276544,ENST00000533875
ENSG00000244710,ENST00000425667
ENSG00000244710,ENST00000533875
ENSG00000264322,ENST00000425667
ENSG00000264322,ENST00000533875
ENSG00000239595,ENST00000425667
ENSG00000239595,ENST00000533875
ENSG00000196274,ENST00000425667
ENSG00000196274,ENST00000533875
ENSG00000241807,ENST00000425667
ENSG00000241807,ENST00000533875
ENSG00000243738,ENST00000425667
ENSG00000243738,ENST00000533875
ENSG00000280502,ENST00000425667
ENSG00000280502,ENST00000533875
ENSG00000239398,ENST00000425667
ENSG00000239398,ENST00000533875
ENSG00000241756,ENST00000425667
ENSG00000241756,ENST00000533875
ENSG00000244326,ENST00000425667
ENSG00000244326,ENST00000533875
ENSG00000239390,ENST00000425667
ENSG00000239390,ENST00000533875
ENSG00000244328,ENST00000425667
ENSG00000244328,ENST00000533875
ENSG00000239396,ENST00000425667
ENSG00000239396,ENST00000533875
ENSG00000278469,ENST00000425667
ENSG00000278469,ENST00000533875
ENSG00000276729,ENST00000425667
ENSG00000276729,ENST00000533875
ENSG00000240235,ENST00000425667
ENSG00000240235,ENST00000533875
ENSG00000240233,ENST00000425667
ENSG00000240233,ENST00000533875
ENSG00000240625,ENST00000425667
ENSG00000240625,ENST00000533875
ENSG00000240626,ENST00000425667
ENSG00000240626,ENST00000533875
ENSG00000242657,ENST00000425667
ENSG00000242657,ENST00000533875
ENSG00000244732,ENST00000425667
ENSG00000244732,ENST00000533875
ENSG00000243532,ENST00000425667
ENSG00000243532,ENST00000533875
ENSG00000242653,ENST00000425667
ENSG00000242653,ENST00000533875
ENSG00000240584,ENST00000425667
ENSG00000240584,ENST00000533875
ENSG00000242651,ENST00000425667
ENSG00000242651,ENST00000533875
ENSG00000242650,ENST00000425667
ENSG00000242650,ENST00000533875
ENSG00000243900,ENST00000425667
ENSG00000243900,ENST00000533875
ENSG00000274742,ENST00000425667
ENSG00000274742,ENST00000533875
ENSG00000277635,ENST00000425667
ENSG00000277635,ENST00000533875
ENSG00000243905,ENST00000425667
ENSG00000243905,ENST00000533875
ENSG00000277637,ENST00000425667
ENSG00000277637,ENST00000533875
ENSG00000274747,ENST00000425667
ENSG00000274747,ENST00000533875
ENSG00000241243,ENST00000425667
ENSG00000241243,ENST00000533875
ENSG00000244677,ENST00000425667
ENSG00000244677,ENST00000533875
ENSG00000273950,ENST00000425667
ENSG00000273950,ENST00000533875
ENSG00000273818,ENST00000425667
ENSG00000273818,ENST00000533875
ENSG00000275287,ENST00000425667
ENSG00000275287,ENST00000533875
ENSG00000265814,ENST00000425667
ENSG00000265814,ENST00000533875
ENSG00000242241,ENST00000425667
ENSG00000242241,ENST00000533875
ENSG00000244632,ENST00000425667
ENSG00000244632,ENST00000533875
ENSG00000277900,ENST00000425667
ENSG00000277900,ENST00000533875
ENSG00000276096,ENST00000425667
ENSG00000276096,ENST00000533875
ENSG00000275041,ENST00000425667
ENSG00000275041,ENST00000533875
ENSG00000241291,ENST00000425667
ENSG00000241291,ENST00000533875
ENSG00000240750,ENST00000425667
ENSG00000240750,ENST00000533875
ENSG00000276168,ENST00000425667
ENSG00000276168,ENST00000533875
ENSG00000265740,ENST00000425667
ENSG00000265740,ENST00000533875
ENSG00000239247,ENST00000425667
ENSG00000239247,ENST00000533875
ENSG00000264615,ENST00000425667
ENSG00000264615,ENST00000533875
ENSG00000264613,ENST00000425667
ENSG00000264613,ENST00000533875
ENSG00000276653,ENST00000425667
ENSG00000276653,ENST00000533875
ENSG00000242158,ENST00000425667
ENSG00000242158,ENST00000533875
ENSG00000272197,ENST00000425667
ENSG00000272197,ENST00000533875
ENSG00000242014,ENST00000425667
ENSG00000242014,ENST00000533875
ENSG00000264618,ENST00000425667
ENSG00000264618,ENST00000533875
ENSG00000263616,ENST00000425667
ENSG00000263616,ENST00000533875
ENSG00000264192,ENST00000425667
ENSG00000264192,ENST00000533875
ENSG00000263755,ENST00000425667
ENSG00000263755,ENST00000533875
ENSG00000241613,ENST00000425667
ENSG00000241613,ENST00000533875
ENSG00000278838,ENST00000425667
ENSG00000278838,ENST00000533875
ENSG00000283389,ENST00000425667
ENSG00000283389,ENST00000533875
ENSG00000276988,ENST00000425667
ENSG00000276988,ENST00000533875
ENSG00000264391,ENST00000425667
ENSG00000264391,ENST00000533875
ENSG00000274459,ENST00000425667
ENSG00000274459,ENST00000533875
ENSG00000244112,ENST00000425667
ENSG00000244112,ENST00000533875
ENSG00000244056,ENST00000425667
ENSG00000244056,ENST00000533875
ENSG00000264963,ENST00000425667
ENSG00000264963,ENST00000533875
ENSG00000253602,ENST00000425667
ENSG00000253602,ENST00000533875
ENSG00000274510,ENST00000425667
ENSG00000274510,ENST00000533875
ENSG00000277265,ENST00000425667
ENSG00000277265,ENST00000533875
ENSG00000266710,ENST00000425667
ENSG00000266710,ENST00000533875
ENSG00000274514,ENST00000425667
ENSG00000274514,ENST00000533875
ENSG00000241188,ENST00000425667
ENSG00000241188,ENST00000533875
ENSG00000274704,ENST00000425667
ENSG00000274704,ENST00000533875
ENSG00000264676,ENST00000425667
ENSG00000264676,ENST00000533875
ENSG00000272075,ENST00000425667
ENSG00000272075,ENST00000533875
